"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 09 14:58:11 EEST 2022","Sat Jul 09 14:58:11 EEST 2022","925","","UserTest","","UserTest","createUserAndCheckResponse","New User creation test","Base test of ""/register"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:20 EEST 2022","Sat Jul 09 14:58:21 EEST 2022","343","","UserTest","","UserTest","createUserWithoutNameAndCheckResponse","No name User creation test","Base negative test of ""/register"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:20 EEST 2022","Sat Jul 09 14:58:20 EEST 2022","353","","UserTest","","UserTest","createUserWithoutEmailAndCheckResponse","No email User creation test","Base negative test of ""/register"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:21 EEST 2022","Sat Jul 09 14:58:22 EEST 2022","1696","","UserTest","","UserTest","createExistedUserAndCheckResponse","Existed User creation test","Base negative test of ""/register"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:27 EEST 2022","Sat Jul 09 14:58:27 EEST 2022","341","","OrderTest","","OrderTest","createOrderWithoutAuthorizationAndCheckResponse","New correct order creation without authorization positive test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:23 EEST 2022","Sat Jul 09 14:58:23 EEST 2022","346","","OrderTest","","OrderTest","createIncorrectOrderAndCheckResponse","New incorrect order creation negative test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:11 EEST 2022","Sat Jul 09 14:58:13 EEST 2022","1300","","UserTest","","UserTest","updateUserNameAndCheckResponse","Update User name test","Base test of ""/user"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:27 EEST 2022","Sat Jul 09 14:58:28 EEST 2022","612","","OrderTest","","OrderTest","createEmptyOrderAndCheckResponse","New empty order creation negative test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:18 EEST 2022","Sat Jul 09 14:58:19 EEST 2022","1236","","UserTest","","UserTest","updateUserWithoutAuthorizationAndCheckResponse","Update User without authorization test","Base negative test of ""/user"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:23 EEST 2022","Sat Jul 09 14:58:25 EEST 2022","1746","","OrderTest","","OrderTest","createOrderWithAuthorizationAndCheckResponse","New correct order creation with authorization positive test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:14 EEST 2022","Sat Jul 09 14:58:15 EEST 2022","1248","","UserTest","","UserTest","getUserInfoAndCheckResponse","Correct User info test","Base test of ""/user"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:19 EEST 2022","Sat Jul 09 14:58:20 EEST 2022","697","","UserTest","","UserTest","createUserWithoutPasswordAndCheckResponse","No password User creation test","Base negative test of ""/register"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:13 EEST 2022","Sat Jul 09 14:58:14 EEST 2022","1239","","UserTest","","UserTest","loginIncorrectEmailUserAndCheckResponse","Incorrect Email User login test","Base negative test of ""/login"" endpoint. Checking code status and response's body after correct request were send"
"failed","Sat Jul 09 14:58:15 EEST 2022","Sat Jul 09 14:58:17 EEST 2022","1458","","UserTest","","UserTest","loginUserAndCheckResponse","Correct User login test","Base test of ""/login"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:06 EEST 2022","Sat Jul 09 14:58:10 EEST 2022","4848","","UserTest","","UserTest","updateUserEmailAndCheckResponse","Update User email test","Base test of ""/user"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:17 EEST 2022","Sat Jul 09 14:58:18 EEST 2022","1145","","UserTest","","UserTest","loginIncorrectPasswordUserAndCheckResponse","Incorrect Password User login test","Base negative test of ""/login"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:25 EEST 2022","Sat Jul 09 14:58:27 EEST 2022","2184","","OrderTest","","OrderTest","getUserOrderWithAuthorizationAndCheckResponse","New get User's order with authorization positive test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
"passed","Sat Jul 09 14:58:22 EEST 2022","Sat Jul 09 14:58:23 EEST 2022","440","","OrderTest","","OrderTest","getUserOrderWithoutAuthorizationAndCheckResponse","New get User's order without authorization negative test","Base test of ""/order"" endpoint. Checking code status and response's body after correct request were send"
